phase,T_celsius,T_K,elem_a,elem_b,omega_Jmol,z_bcc,lsq_xmin,lsq_xmax,lsq_npts
BCC_A2,670,943.15,CR,CU,1.3532190470652432,8,0.05,0.95,19
BCC_A2,670,943.15,CR,FE,3585.463508905802,8,0.05,0.95,19
BCC_A2,670,943.15,CR,MN,-2531.346936432587,8,0.05,0.95,19
BCC_A2,670,943.15,CR,MO,1585.1426659919573,8,0.05,0.95,19
BCC_A2,670,943.15,CR,NB,648.2811020164945,8,0.05,0.95,19
BCC_A2,670,943.15,CR,NI,484.9136864548181,8,0.05,0.95,19
BCC_A2,670,943.15,CR,SI,-13066.570259187412,8,0.05,0.95,19
BCC_A2,670,943.15,CR,TI,1423.551968992966,8,0.05,0.95,19
BCC_A2,670,943.15,CR,W,403.0774486071812,8,0.05,0.95,19
BCC_A2,670,943.15,CU,FE,143.65518866886956,8,0.05,0.95,19
BCC_A2,670,943.15,CU,MN,2264.0209046123427,8,0.05,0.95,19
BCC_A2,670,943.15,CU,MO,2.1024619154732117e-08,8,0.05,0.95,19
BCC_A2,670,943.15,CU,NB,56.90409846195034,8,0.05,0.95,19
BCC_A2,670,943.15,CU,NI,1079.2944710881347,8,0.05,0.95,19
BCC_A2,670,943.15,CU,SI,-3238.936296151439,8,0.05,0.95,19
BCC_A2,670,943.15,CU,TI,-1.3387465967812886e-08,8,0.05,0.95,19
BCC_A2,670,943.15,CU,W,2.284130638532795e-08,8,0.05,0.95,19
BCC_A2,670,943.15,FE,MN,1323.7296601720548,8,0.05,0.95,19
BCC_A2,670,943.15,FE,MO,836.9386185344898,8,0.05,0.95,19
BCC_A2,670,943.15,FE,NB,964.306853238349,8,0.05,0.95,19
BCC_A2,670,943.15,FE,NI,803.0663426600258,8,0.05,0.95,19
BCC_A2,670,943.15,FE,SI,-17083.132541167502,8,0.05,0.95,19
BCC_A2,670,943.15,FE,TI,-5772.6138222071695,8,0.05,0.95,19
BCC_A2,670,943.15,FE,W,217.63205935970797,8,0.05,0.95,19
BCC_A2,670,943.15,MN,MO,1263.6593260954262,8,0.05,0.95,19
BCC_A2,670,943.15,MN,NB,13.721669620282222,8,0.05,0.95,19
BCC_A2,670,943.15,MN,NI,-384.0160389147131,8,0.05,0.95,19
BCC_A2,670,943.15,MN,SI,-11188.307103100195,8,0.05,0.95,19
BCC_A2,670,943.15,MN,TI,-2886.133693169156,8,0.05,0.95,19
BCC_A2,670,943.15,MN,W,13.721669622132026,8,0.05,0.95,19
BCC_A2,670,943.15,MO,NB,1.2443999721212736e-08,8,0.05,0.95,19
BCC_A2,670,943.15,MO,NI,79.44751580749183,8,0.05,0.95,19
BCC_A2,670,943.15,MO,SI,-7499.625939020077,8,0.05,0.95,19
BCC_A2,670,943.15,MO,TI,-456.1483583243118,8,0.05,0.95,19
BCC_A2,670,943.15,MO,W,249.9875312935552,8,0.05,0.95,19
BCC_A2,670,943.15,NB,NI,-2306.8241383518566,8,0.05,0.95,19
